iter_index,time,Tl_207,Pb_207,Pb_211,Bi_211,Bi_215,Po_211,Po_215,At_219,Rn_219,Fr_223,Ra_223,Ac_227,Th_227,Th_231,Pa_231,U_235
1060,1.06,279.738,3165.84,1753.04,110.269,7.43712,0.00122512,3.23539e-05,0.000760679,0.00735198,286.22,1833.44,0,0,0,0,0
1070,1.07,276.731,3190.16,1733.4,109.041,7.04138,0.00121147,3.08178e-05,0.000746434,0.00737329,280.86,1838.76,0,0,0,0,0
1080,1.08,273.748,3214.22,1713.97,107.826,6.66672,0.00119797,2.93639e-05,0.000732456,0.00739419,275.6,1843.97,0,0,0,0,0
1090,1.09,270.79,3238.01,1694.73,106.622,6.312,0.0011846,2.79877e-05,0.000718739,0.0074147,270.439,1849.08,0,0,0,0,0
1100,1.1,267.857,3261.55,1675.7,105.431,5.97616,0.00117137,2.6685e-05,0.00070528,0.00743482,265.375,1854.1,0,0,0,0,0
1110,1.11,264.949,3284.83,1656.87,104.253,5.65821,0.00115827,2.54521e-05,0.000692073,0.00745455,260.405,1859.02,0,0,0,0,0
1120,1.12,262.065,3307.86,1638.24,103.086,5.35717,0.00114531,2.4285e-05,0.000679112,0.00747392,255.529,1863.85,0,0,0,0,0
1130,1.13,259.208,3330.64,1619.8,101.931,5.07217,0.00113248,2.31804e-05,0.000666395,0.00749292,250.744,1868.59,0,0,0,0,0
1140,1.14,256.375,3353.17,1601.57,100.789,4.80233,0.00111979,2.21349e-05,0.000653916,0.00751156,246.048,1873.24,0,0,0,0,0
1150,1.15,253.568,3375.46,1583.52,99.6578,4.54686,0.00110722,2.11453e-05,0.00064167,0.00752984,241.441,1877.8,0,0,0,0,0
1160,1.16,250.787,3397.5,1565.67,98.5389,4.30499,0.00109479,2.02087e-05,0.000629654,0.00754778,236.919,1882.27,0,0,0,0,0
1170,1.17,248.032,3419.3,1548.01,97.4318,4.076,0.00108249,1.93222e-05,0.000617863,0.00756538,232.483,1886.66,0,0,0,0,0
1180,1.18,245.302,3440.86,1530.54,96.3364,3.85919,0.00107032,1.84832e-05,0.000606293,0.00758264,228.129,1890.96,0,0,0,0,0
1190,1.19,242.598,3462.18,1513.27,95.2525,3.65392,0.00105828,1.76891e-05,0.000594939,0.00759958,223.857,1895.19,0,0,0,0,0
1200,1.2,239.919,3483.26,1496.17,94.1802,3.45959,0.00104637,1.69376e-05,0.000583798,0.0076162,219.665,1899.33,0,0,0,0,0
1210,1.21,237.266,3504.11,1479.27,93.1193,3.2756,0.00103458,1.62263e-05,0.000572865,0.0076325,215.551,1903.4,0,0,0,0,0
1220,1.22,234.639,3524.74,1462.54,92.0698,3.10139,0.00102292,1.55531e-05,0.000562138,0.00764849,211.515,1907.39,0,0,0,0,0
1230,1.23,232.038,3545.13,1446,91.0316,2.93646,0.00101139,1.4916e-05,0.000551611,0.00766418,207.554,1911.3,0,0,0,0,0
1240,1.24,229.462,3565.3,1429.64,90.0045,2.78032,0.000999975,1.4313e-05,0.000541281,0.00767957,203.667,1915.14,0,0,0,0,0
1250,1.25,226.912,3585.24,1413.46,88.9885,2.63247,0.000988687,1.37424e-05,0.000531145,0.00769467,199.853,1918.9,0,0,0,0,0
1260,1.26,224.387,3604.96,1397.46,87.9836,2.4925,0.000977521,1.32024e-05,0.000521198,0.00770948,196.111,1922.6,0,0,0,0,0
1270,1.27,221.887,3624.46,1381.63,86.9895,2.35999,0.000966477,1.26913e-05,0.000511438,0.00772401,192.438,1926.22,0,0,0,0,0
1280,1.28,219.413,3643.75,1365.98,86.0062,2.23451,0.000955553,1.22077e-05,0.000501861,0.00773826,188.835,1929.77,0,0,0,0,0
1290,1.29,216.963,3662.82,1350.5,85.0337,2.11572,0.000944748,1.175e-05,0.000492463,0.00775225,185.298,1933.26,0,0,0,0,0
1300,1.3,214.539,3681.67,1335.19,84.0718,2.00326,0.000934061,1.13169e-05,0.000483241,0.00776597,181.828,1936.68,0,0,0,0,0
1310,1.31,212.14,3700.32,1320.05,83.1204,1.89677,0.000923491,1.09071e-05,0.000474191,0.00777942,178.423,1940.04,0,0,0,0,0
1320,1.32,209.765,3718.75,1305.08,82.1794,1.79596,0.000913037,1.05192e-05,0.000465311,0.00779262,175.082,1943.33,0,0,0,0,0
1330,1.33,207.415,3736.99,1290.28,81.2488,1.70051,0.000902697,1.01523e-05,0.000456598,0.00780557,171.804,1946.56,0,0,0,0,0
1340,1.34,205.09,3755.01,1275.64,80.3285,1.61014,0.000892472,9.805e-06,0.000448047,0.00781827,168.586,1949.73,0,0,0,0,0
1350,1.35,202.788,3772.84,1261.16,79.4183,1.52457,0.00088236,9.47642e-06,0.000439657,0.00783074,165.429,1952.83,0,0,0,0,0
1360,1.36,200.511,3790.46,1246.84,78.5181,1.44356,0.000872359,9.16553e-06,0.000431424,0.00784296,162.331,1955.88,0,0,0,0,0
1370,1.37,198.258,3807.88,1232.69,77.628,1.36687,0.000862469,8.87135e-06,0.000423345,0.00785495,159.291,1958.87,0,0,0,0,0
1380,1.38,196.029,3825.11,1218.69,76.7476,1.29425,0.000852688,8.59301e-06,0.000415417,0.00786671,156.308,1961.81,0,0,0,0,0
1390,1.39,193.823,3842.15,1204.85,75.8771,1.22549,0.000843016,8.32967e-06,0.000407638,0.00787825,153.381,1964.68,0,0,0,0,0
1400,1.4,191.641,3859,1191.16,75.0162,1.1604,0.000833452,8.08052e-06,0.000400004,0.00788957,150.509,1967.51,0,0,0,0,0
